pipeline_name,stage,metric,value,unit,timestamp,status
h2_telemetry_ingestion,ingestion,messages_per_second,1523,msg/s,2024-01-15T14:30:00Z,healthy
h2_telemetry_ingestion,validation,pass_rate,99.2,percent,2024-01-15T14:30:00Z,healthy
h2_telemetry_ingestion,storage,write_throughput,45.3,MB/s,2024-01-15T14:30:00Z,healthy
h2_telemetry_ingestion,end_to_end,latency_p99,3.2,seconds,2024-01-15T14:30:00Z,healthy
spacecraft_telemetry_ingestion,ingestion,messages_per_second,423,msg/s,2024-01-15T14:30:00Z,healthy
spacecraft_telemetry_ingestion,validation,pass_rate,98.7,percent,2024-01-15T14:30:00Z,warning
spacecraft_telemetry_ingestion,storage,write_throughput,12.1,MB/s,2024-01-15T14:30:00Z,healthy
spacecraft_telemetry_ingestion,end_to_end,latency_p99,4.5,seconds,2024-01-15T14:30:00Z,healthy
anomaly_detection,processing,detections_per_minute,15,detections/min,2024-01-15T14:30:00Z,healthy
anomaly_detection,processing,false_positive_rate,3.2,percent,2024-01-15T14:30:00Z,healthy
anomaly_detection,processing,latency_p99,0.8,seconds,2024-01-15T14:30:00Z,healthy
data_quality_validation,validation,completeness_score,99.5,percent,2024-01-15T14:30:00Z,healthy
data_quality_validation,validation,accuracy_score,98.9,percent,2024-01-15T14:30:00Z,healthy
data_quality_validation,validation,timeliness_score,99.1,percent,2024-01-15T14:30:00Z,healthy
schema_validation,validation,schema_match_rate,99.8,percent,2024-01-15T14:30:00Z,healthy
schema_validation,validation,validation_errors,23,errors/hour,2024-01-15T14:30:00Z,healthy
curated_dataset_generation,processing,datasets_generated,12,datasets,2024-01-15T14:00:00Z,healthy
curated_dataset_generation,processing,processing_time,45,minutes,2024-01-15T14:00:00Z,healthy
